# Metadata of the RNA sequencing data used to create the TRN model with ICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,# Metadata of the RNA sequencing data used to create the TRN model with ICA
,BioProject,BioSample,Body_Site,project,base_media,condition,growth_phase,isolate,reference_condition,skip,OD-600,NOTES,InsertDev,InsertSize,LibraryLayout,LibrarySelection,LibrarySource,LibraryStrategy,Manual Strain,Model,Platform,Project,ProjectID,ReleaseDate,Run,SRAStudy,Sample,ScientificName,Submission,TaxID,class_tax_id,species,species_tax_id,strain_tax_id,Swift,Treatment,full_name,passed_fastqc,passed_global_correlation,passed_number_replicates,passed_reads_mapped_to_CDS,passed_similar_replicates,condition_name,project_name,CenterName,Notes,SRA ID,GEO Series,GEO Sample,PMID,passed_replicate_correlations,genetic_changes,name,treatment,strain_description,Study_Pubmed_id,Previous ID (Changed SRR to SRX)
SRX3485275,PRJNA470935,SAMN08200716,,tch nafcillin,CA-MHB,CA-MHB;0.0625ug/mL Nafcillin;exp;TCH1516;WT,exp,TCH1516,Control,,0.3665,First S. aureus ICA model,0,0,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,,Illumina HiSeq 4000,ILLUMINA,,470935,11/15/2018 20:14,SRR8195163,SRP145347,SRS3283680,Staphylococcus aureus,SRA810259,1280,,,1208,,,,tch nafcillin:CA-MHB:0.0625ug/mL Nafcillin:Exponential:TCH1516:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,0.0625ug/mL Nafcillin,,,SRX3485275
SRX5014577,PRJNA470935,SAMN09103979,,lac nafcillin,CA-MHB,CA-MHB;Control;exp;LAC;WT,exp,LAC,Control,,0.6237,First S. aureus ICA model,0,0,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,,Illumina HiSeq 4000,ILLUMINA,,470935,12/19/2017 20:41,SRR6391842,SRP145347,SRS2770989,Staphylococcus aureus,SRA640310,1280,,,1208,,,,lac nafcillin:CA-MHB:Control:Exponential:LAC:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,Control,,,SRX5014577
SRX5014557,PRJNA470935,SAMN09103979,,lac nafcillin,CA-MHB,CA-MHB;1.0ug/mL Nafcillin;exp;LAC;WT,exp,LAC,Control,,0.5789,First S. aureus ICA model,0,0,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,,Illumina HiSeq 4000,ILLUMINA,,470935,11/15/2018 19:17,SRR8195182,SRP145347,SRS3283680,Staphylococcus aureus,SRA810259,1280,,,1208,,,,lac nafcillin:CA-MHB:1.0ug/mL Nafcillin:Exponential:LAC:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,1.0ug/mL Nafcillin,,,SRX5014557
SRX5014562,PRJNA470935,SAMN09103979,,lac nafcillin,RPMI+10%LB,RPMI+10%LB;0.1ug/mL Nafcillin;exp;LAC;WT,exp,LAC,Control,,0.3259,First S. aureus ICA model,0,0,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,,Illumina HiSeq 4000,ILLUMINA,,470935,11/15/2018 20:14,SRR8195183,SRP145347,SRS3283680,Staphylococcus aureus,SRA810259,1280,,,1208,,,,lac nafcillin:RPMI+10%LB:0.1ug/mL Nafcillin:Exponential:LAC:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,0.1ug/mL Nafcillin,,,SRX5014562
SRX5014568,PRJNA470935,SAMN09103979,,lac nafcillin,RPMI+10%LB,RPMI+10%LB;0.1ug/mL Nafcillin;exp;LAC;WT,exp,LAC,Control,,0.3367,First S. aureus ICA model,0,0,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,,Illumina HiSeq 4000,ILLUMINA,,470935,11/15/2018 20:35,SRR8195189,SRP145347,SRS3283680,Staphylococcus aureus,SRA810259,1280,,,1208,,,,lac nafcillin:RPMI+10%LB:0.1ug/mL Nafcillin:Exponential:LAC:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,0.1ug/mL Nafcillin,,,SRX5014568
SRX3485284,PRJNA470935,SAMN08200716,,tch nafcillin,CA-MHB,CA-MHB;0.5ug/mL Nafcillin;exp;TCH1516;WT,exp,TCH1516,Control,,0.3504,First S. aureus ICA model,0,0,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,,Illumina HiSeq 4000,ILLUMINA,,470935,11/15/2018 20:14,SRR8195168,SRP145347,SRS3283680,Staphylococcus aureus,SRA810259,1280,,,1208,,,,tch nafcillin:CA-MHB:0.5ug/mL Nafcillin:Exponential:TCH1516:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,0.5ug/mL Nafcillin,,,SRX3485284
SRX5014570,PRJNA470935,SAMN09103979,,lac nafcillin,RPMI+10%LB,RPMI+10%LB;0.15ug/mL Nafcillin;exp;LAC;WT,exp,LAC,Control,,0.6357,First S. aureus ICA model,0,0,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,,Illumina HiSeq 4000,ILLUMINA,,470935,12/19/2017 20:41,SRR6391833,SRP145347,SRS2770989,Staphylococcus aureus,SRA640310,1280,,,1208,,,,lac nafcillin:RPMI+10%LB:0.15ug/mL Nafcillin:Exponential:LAC:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,0.15ug/mL Nafcillin,,,SRX5014570
SRX4065827,PRJNA470935,SAMN09103979,,lac nafcillin,CA-MHB,CA-MHB;0.5ug/mL Nafcillin ;exp;LAC;WT,exp,LAC,Control,,0.287,First S. aureus ICA model,0,0,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,,Illumina HiSeq 4000,ILLUMINA,,470935,11/15/2018 20:29,SRR8195170,SRP145347,SRS3283680,Staphylococcus aureus,SRA810259,1280,,,1208,,,,lac nafcillin:CA-MHB:0.5ug/mL Nafcillin :Exponential:LAC:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,0.5ug/mL Nafcillin ,,,SRX4065827
SRX4065836,PRJNA470935,SAMN09103979,,lac nafcillin,CA-MHB,CA-MHB;1.0ug/mL Nafcillin;exp;LAC;WT,exp,LAC,Control,,0.4916,First S. aureus ICA model,0,0,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,,Illumina HiSeq 4000,ILLUMINA,,470935,11/15/2018 18:40,SRR8195177,SRP145347,SRS3283680,Staphylococcus aureus,SRA810259,1280,,,1208,,,,lac nafcillin:CA-MHB:1.0ug/mL Nafcillin:Exponential:LAC:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,1.0ug/mL Nafcillin,,,SRX4065836
SRX5014569,PRJNA470935,SAMN09103979,,lac nafcillin,CA-MHB,CA-MHB;0.15ug/mL Nafcillin;exp;LAC;WT,exp,LAC,Control,,0.4272,First S. aureus ICA model,0,0,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,,Illumina HiSeq 4000,ILLUMINA,,470935,11/15/2018 19:36,SRR8195194,SRP145347,SRS3283680,Staphylococcus aureus,SRA810259,1280,,,1208,,,,lac nafcillin:CA-MHB:0.15ug/mL Nafcillin:Exponential:LAC:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,0.15ug/mL Nafcillin,,,SRX5014569
SRX4065834,PRJNA470935,SAMN09103979,,lac nafcillin,CA-MHB,CA-MHB;Control;exp;LAC;WT,exp,LAC,Control,,0.5405,First S. aureus ICA model,0,0,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,,Illumina HiSeq 4000,ILLUMINA,,470935,11/15/2018 20:14,SRR8195174,SRP145347,SRS3283680,Staphylococcus aureus,SRA810259,1280,,,1208,,,,lac nafcillin:CA-MHB:Control:Exponential:LAC:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,Control,,,SRX4065834
SRX5014564,PRJNA470935,SAMN09103979,,lac nafcillin,RPMI+10%LB,RPMI+10%LB;None;exp;LAC;WT,exp,LAC,Control,,0.3701,First S. aureus ICA model,0,0,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,,Illumina HiSeq 4000,ILLUMINA,,470935,11/15/2018 20:29,SRR8195187,SRP145347,SRS3283680,Staphylococcus aureus,SRA810259,1280,,,1208,,,,lac nafcillin:RPMI+10%LB:None:Exponential:LAC:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,,,,SRX5014564
SRX5014574,PRJNA470935,SAMN09103979,,lac nafcillin,CA-MHB,CA-MHB;0.5ug/mL Nafcillin ;exp;LAC;WT,exp,LAC,Control,,0.7946,First S. aureus ICA model,0,0,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,,Illumina HiSeq 4000,ILLUMINA,,470935,12/19/2017 20:41,SRR6391835,SRP145347,SRS2770989,Staphylococcus aureus,SRA640310,1280,,,1208,,,,lac nafcillin:CA-MHB:0.5ug/mL Nafcillin :Exponential:LAC:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,0.5ug/mL Nafcillin ,,,SRX5014574
SRX4065829,PRJNA470935,SAMN09103979,,lac nafcillin,CA-MHB,CA-MHB;0.15ug/mL Nafcillin;exp;LAC;WT,exp,LAC,Control,,0.4168,First S. aureus ICA model,0,0,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,,Illumina HiSeq 4000,ILLUMINA,,470935,11/15/2018 18:41,SRR8195172,SRP145347,SRS3283680,Staphylococcus aureus,SRA810259,1280,,,1208,,,,lac nafcillin:CA-MHB:0.15ug/mL Nafcillin:Exponential:LAC:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,0.15ug/mL Nafcillin,,,SRX4065829
SRX5014581,PRJNA470935,SAMN09103979,,lac nafcillin,RPMI+10%LB,RPMI+10%LB;0.15ug/mL Nafcillin;exp;LAC;WT,exp,LAC,Control,,,PNAS StaphICA data,0,0,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,,Illumina HiSeq 4000,ILLUMINA,,470935,11/15/2018 20:29,SRR8195170,SRP145347,SRS3283680,Staphylococcus aureus,SRA810259,1280,,,1208,,,,lac nafcillin:RPMI+10%LB:0.15ug/mL Nafcillin:Exponential:LAC:WT,TRUE,TRUE,,TRUE,,,,UNIVERSITY OF CALIFORNIA- SAN DIEGO,,,,,,TRUE,WT,,0.15ug/mL Nafcillin,,,SRX5014581
SRX5014583,PRJNA470935,SAMN09103979,,lac nafcillin,RPMI+10%LB,RPMI+10%LB;None;exp;LAC;WT,exp,LAC,Control,,,PNAS StaphICA data,0,0,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,,Illumina HiSeq 4000,ILLUMINA,,470935,11/15/2018 20:14,SRR8195168,SRP145347,SRS3283680,Staphylococcus aureus,SRA810259,1280,,,1208,,,,lac nafcillin:RPMI+10%LB:None:Exponential:LAC:WT,TRUE,TRUE,,TRUE,,,,UNIVERSITY OF CALIFORNIA- SAN DIEGO,,,,,,TRUE,WT,,,,,SRX5014583
SRX5014587,PRJNA470935,SAMN09103979,,lac nafcillin,RPMI+10%LB,RPMI+10%LB;PreCulture;exp;LAC;WT,exp,LAC,Control,,,PNAS StaphICA data,0,0,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,,Illumina HiSeq 4000,ILLUMINA,,470935,11/15/2018 20:14,SRR8195164,SRP145347,SRS3283680,Staphylococcus aureus,SRA810259,1280,,,1208,,,,lac nafcillin:RPMI+10%LB:PreCulture:Exponential:LAC:WT,TRUE,TRUE,,TRUE,,,,UNIVERSITY OF CALIFORNIA- SAN DIEGO,,,,,,TRUE,WT,,PreCulture,,,SRX5014587
SRX5014588,PRJNA470935,SAMN09103979,,lac nafcillin,RPMI+10%LB,RPMI+10%LB;PreCulture;exp;LAC;WT,exp,LAC,Control,,,PNAS StaphICA data,0,0,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,,Illumina HiSeq 4000,ILLUMINA,,470935,11/15/2018 20:14,SRR8195163,SRP145347,SRS3283680,Staphylococcus aureus,SRA810259,1280,,,1208,,,,lac nafcillin:RPMI+10%LB:PreCulture:Exponential:LAC:WT,TRUE,TRUE,,TRUE,,,,UNIVERSITY OF CALIFORNIA- SAN DIEGO,,,,,,TRUE,WT,,PreCulture,,,SRX5014588
SRX4910578,PRJNA497790,SAMN10266259,,PBT2 ,MHB,MHB;6uM PBT2 + 600 uM ZnSO4;exp;NRS384;WT,exp,NRS384,Control,,0.4,PMID: 30538186; No isolate name,0,0,SINGLE,cDNA,TRANSCRIPTOMIC,RNA-Seq,USA300,Illumina HiSeq 2500,ILLUMINA,,497790,10/23/2018 16:43,SRR8083524,SRP166268,SRS3956303,Staphylococcus aureus,SRA796449,1280,91061,Staphylococcus aureus,1280,1280,,,PBT2 :MHB:6uM PBT2 + 600 uM ZnSO4:Exponential:NRS384:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,6uM PBT2 + 600 uM ZnSO4,,,SRX4910578
SRX4910579,PRJNA497790,SAMN10266258,,PBT2 ,MHB,MHB;6uM PBT2 + 600 uM ZnSO4;exp;NRS384;WT,exp,NRS384,Control,,0.4,PMID: 30538186; No isolate name,0,0,SINGLE,cDNA,TRANSCRIPTOMIC,RNA-Seq,USA300,Illumina HiSeq 2500,ILLUMINA,,497790,10/23/2018 16:43,SRR8083522,SRP166268,SRS3956301,Staphylococcus aureus,SRA796449,1280,91061,Staphylococcus aureus,1280,1280,,,PBT2 :MHB:6uM PBT2 + 600 uM ZnSO4:Exponential:NRS384:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,6uM PBT2 + 600 uM ZnSO4,,,SRX4910579
SRX4910580,PRJNA497790,SAMN10266257,,PBT2 ,MHB,MHB;6uM PBT2 + 600 uM ZnSO4;exp;NRS384;WT,exp,NRS384,Control,,0.4,PMID: 30538186; No isolate name,0,0,SINGLE,cDNA,TRANSCRIPTOMIC,RNA-Seq,USA300,Illumina HiSeq 2500,ILLUMINA,,497790,10/23/2018 16:43,SRR8083523,SRP166268,SRS3956302,Staphylococcus aureus,SRA796449,1280,91061,Staphylococcus aureus,1280,1280,,,PBT2 :MHB:6uM PBT2 + 600 uM ZnSO4:Exponential:NRS384:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,6uM PBT2 + 600 uM ZnSO4,,,SRX4910580
SRX4910575,PRJNA497790,SAMN10266262,,PBT2 ,MHB,MHB;Control;exp;NRS384;WT,exp,NRS384,Control,,0.4,PMID: 30538186; No isolate name,0,0,SINGLE,cDNA,TRANSCRIPTOMIC,RNA-Seq,USA300,Illumina HiSeq 2500,ILLUMINA,,497790,10/23/2018 16:43,SRR8083527,SRP166268,SRS3956306,Staphylococcus aureus,SRA796449,1280,91061,Staphylococcus aureus,1280,1280,,,PBT2 :MHB:Control:Exponential:NRS384:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,Control,,,SRX4910575
SRX4910576,PRJNA497790,SAMN10266261,,PBT2 ,MHB,MHB;Control;exp;NRS384;WT,exp,NRS384,Control,,0.4,PMID: 30538186; No isolate name,0,0,SINGLE,cDNA,TRANSCRIPTOMIC,RNA-Seq,USA300,Illumina HiSeq 2500,ILLUMINA,,497790,10/23/2018 16:43,SRR8083526,SRP166268,SRS3956304,Staphylococcus aureus,SRA796449,1280,91061,Staphylococcus aureus,1280,1280,,,PBT2 :MHB:Control:Exponential:NRS384:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,Control,,,SRX4910576
SRX4910577,PRJNA497790,SAMN10266260,,PBT2 ,MHB,MHB;Control;exp;NRS384;WT,exp,NRS384,Control,,0.4,PMID: 30538186; No isolate name,0,0,SINGLE,cDNA,TRANSCRIPTOMIC,RNA-Seq,USA300,Illumina HiSeq 2500,ILLUMINA,,497790,10/23/2018 16:43,SRR8083525,SRP166268,SRS3956305,Staphylococcus aureus,SRA796449,1280,91061,Staphylococcus aureus,1280,1280,,,PBT2 :MHB:Control:Exponential:NRS384:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,Control,,,SRX4910577
SRX5299657,PRJNA517434,SAMN10830413,,delta-agr,TSB,TSB;Control;stat;LAC;WT,stat,LAC,Control,,,,0,0,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,USA300,Illumina HiSeq 2000,ILLUMINA,,517434,2/4/2019 16:49,SRR8495142,SRP182661,SRS4298613,Staphylococcus aureus subsp. aureus USA300,SRA840280,367830,91061,Staphylococcus aureus,1280,367830,,,delta-agr:TSB:Control:Stationary:LAC:WT,TRUE,TRUE,,TRUE,,,,GEO,,,,,,TRUE,WT,,Control,,,SRX5299657
SRX5299658,PRJNA517434,SAMN10830411,,delta-agr,TSB,TSB;Control;stat;LAC;WT,stat,LAC,Control,,,,0,0,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,USA300,Illumina HiSeq 2000,ILLUMINA,,517434,2/4/2019 16:49,SRR8495143,SRP182661,SRS4298614,Staphylococcus aureus subsp. aureus USA300,SRA840280,367830,91061,Staphylococcus aureus,1280,367830,,,delta-agr:TSB:Control:Stationary:LAC:WT,TRUE,TRUE,,TRUE,,,,GEO,,,,,,TRUE,WT,,Control,,,SRX5299658
SRX5299659,PRJNA517434,SAMN10830410,,delta-agr,TSB,TSB;Control;stat;LAC;WT,stat,LAC,Control,,,,0,0,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,USA300,Illumina HiSeq 2000,ILLUMINA,,517434,2/4/2019 16:49,SRR8495144,SRP182661,SRS4298615,Staphylococcus aureus subsp. aureus USA300,SRA840280,367830,91061,Staphylococcus aureus,1280,367830,,,delta-agr:TSB:Control:Stationary:LAC:WT,TRUE,TRUE,,TRUE,,,,GEO,,,,,,TRUE,WT,,Control,,,SRX5299659
SRX5299660,PRJNA517434,SAMN10830408,,delta-agr,TSB,TSB;Mutant;stat;LAC;Delta-agr,stat,LAC,Control,,,,0,0,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,USA300,Illumina HiSeq 2000,ILLUMINA,,517434,2/4/2019 16:49,SRR8495145,SRP182661,SRS4298616,Staphylococcus aureus subsp. aureus USA300,SRA840280,367830,91061,Staphylococcus aureus,1280,367830,,,delta-agr:TSB:Mutant:Stationary:LAC:Delta-agr,TRUE,TRUE,,TRUE,,,,GEO,,,,,,TRUE,Delta-agr,,Mutant,,,SRX5299660
SRX5299661,PRJNA517434,SAMN10830406,,delta-agr,TSB,TSB;Mutant;stat;LAC;Delta-agr,stat,LAC,Control,,,,0,0,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,USA300,Illumina HiSeq 2000,ILLUMINA,,517434,2/4/2019 16:49,SRR8495146,SRP182661,SRS4298617,Staphylococcus aureus subsp. aureus USA300,SRA840280,367830,91061,Staphylococcus aureus,1280,367830,,,delta-agr:TSB:Mutant:Stationary:LAC:Delta-agr,TRUE,TRUE,,TRUE,,,,GEO,,,,,,TRUE,Delta-agr,,Mutant,,,SRX5299661
SRX5299662,PRJNA517434,SAMN10830404,,delta-agr,TSB,TSB;Mutant;stat;LAC;Delta-agr,stat,LAC,Control,,,,0,0,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,USA300,Illumina HiSeq 2000,ILLUMINA,,517434,2/4/2019 16:49,SRR8495147,SRP182661,SRS4298618,Staphylococcus aureus subsp. aureus USA300,SRA840280,367830,91061,Staphylococcus aureus,1280,367830,,,delta-agr:TSB:Mutant:Stationary:LAC:Delta-agr,TRUE,TRUE,,TRUE,,,,GEO,,,,,,TRUE,Delta-agr,,Mutant,,,SRX5299662
SRX5299663,PRJNA517434,SAMN10830403,,delta-agr,TSB,TSB;100uM apicidin;stat;LAC;WT,stat,LAC,Control,,,,0,0,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,USA300,Illumina HiSeq 2000,ILLUMINA,,517434,2/4/2019 16:49,SRR8495148,SRP182661,SRS4298619,Staphylococcus aureus subsp. aureus USA300,SRA840280,367830,91061,Staphylococcus aureus,1280,367830,,,delta-agr:TSB:100uM apicidin:Stationary:LAC:WT,TRUE,TRUE,,TRUE,,,,GEO,,,,,,TRUE,WT,,100uM apicidin,,,SRX5299663
SRX5299664,PRJNA517434,SAMN10830401,,delta-agr,TSB,TSB;100uM apicidin;stat;LAC;WT,stat,LAC,Control,,,,0,0,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,USA300,Illumina HiSeq 2000,ILLUMINA,,517434,2/4/2019 16:49,SRR8495149,SRP182661,SRS4298620,Staphylococcus aureus subsp. aureus USA300,SRA840280,367830,91061,Staphylococcus aureus,1280,367830,,,delta-agr:TSB:100uM apicidin:Stationary:LAC:WT,TRUE,TRUE,,TRUE,,,,GEO,,,,,,TRUE,WT,,100uM apicidin,,,SRX5299664
SRX5299665,PRJNA517434,SAMN10830400,,delta-agr,TSB,TSB;100uM apicidin;stat;LAC;WT,stat,LAC,Control,,,,0,0,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,USA300,Illumina HiSeq 2000,ILLUMINA,,517434,2/4/2019 16:49,SRR8495150,SRP182661,SRS4298621,Staphylococcus aureus subsp. aureus USA300,SRA840280,367830,91061,Staphylococcus aureus,1280,367830,,,delta-agr:TSB:100uM apicidin:Stationary:LAC:WT,TRUE,TRUE,,TRUE,,,,GEO,,,,,,TRUE,WT,,100uM apicidin,,,SRX5299665
SRX5504117,PRJNA526511,SAMN08200716,,tch vanco,CA-MHB,CA-MHB;0.45ug/mL Vancomycin;exp;TCH1516;WT,exp,TCH1516,Control,,,,0,0,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,USA300,Illumina HiSeq 4000,ILLUMINA,PRJNA526511,526511,3/11/2019 18:30,SRR8709679,SRP188115,SRS2770989,Staphylococcus aureus,SRA858526,1280,,1208,,,,,tch vanco:CA-MHB:0.45ug/mL Vancomycin:Exponential:TCH1516:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,0.45ug/mL Vancomycin,,,SRX5504117
SRX8420203,PRJNA526511,SAMN08200716,,tch vanco,CA-MHB,CA-MHB;0.45ug/mL Vancomycin;exp;TCH1516;WT,exp,TCH1516,Control,,,PNAS StaphICA data,0,0,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,,Illumina HiSeq 4000,ILLUMINA,,526511,5/28/2020 22:52,SRR11870496,SRP188115,SRS2770989,Staphylococcus aureus,SRA1080986,1280,,,1208,,,,tch vanco:CA-MHB:0.45ug/mL Vancomycin:Exponential:TCH1516:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,0.45ug/mL Vancomycin,,,SRX8420203
SRX5504115,PRJNA526511,SAMN08200716,,tch vanco,CA-MHB,CA-MHB;0.7ug/mL Vancomycin;exp;TCH1516;WT,exp,TCH1516,Control,,,,0,0,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,USA300,Illumina HiSeq 4000,ILLUMINA,PRJNA526511,526511,3/11/2019 18:30,SRR8709677,SRP188115,SRS2770989,Staphylococcus aureus,SRA858526,1280,,1208,,,,,tch vanco:CA-MHB:0.7ug/mL Vancomycin:Exponential:TCH1516:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,0.7ug/mL Vancomycin,,,SRX5504115
SRX8420209,PRJNA526511,SAMN08200716,,tch vanco,CA-MHB,CA-MHB;0.7ug/mL Vancomycin;exp;TCH1516;WT,exp,TCH1516,Control,,,PNAS StaphICA data,0,0,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,,Illumina HiSeq 4000,ILLUMINA,,526511,5/28/2020 22:54,SRR11870502,SRP188115,SRS2770989,Staphylococcus aureus,SRA1080986,1280,,,1208,,,,tch vanco:CA-MHB:0.7ug/mL Vancomycin:Exponential:TCH1516:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,0.7ug/mL Vancomycin,,,SRX8420209
SRX8420202,PRJNA526511,SAMN08200716,,tch vanco,CA-MHB,CA-MHB;Control;exp;TCH1516;WT,exp,TCH1516,Control,,,PNAS StaphICA data,0,0,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,,Illumina HiSeq 4000,ILLUMINA,,526511,5/28/2020 22:52,SRR11870495,SRP188115,SRS2770989,Staphylococcus aureus,SRA1080986,1280,,,1208,,,,tch vanco:CA-MHB:Control:Exponential:TCH1516:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,Control,,,SRX8420202
SRX8420206,PRJNA526511,SAMN08200716,,tch vanco,CA-MHB,CA-MHB;Control;exp;TCH1516;WT,exp,TCH1516,Control,,,PNAS StaphICA data,0,0,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,,Illumina HiSeq 4000,ILLUMINA,,526511,5/28/2020 22:54,SRR11870499,SRP188115,SRS2770989,Staphylococcus aureus,SRA1080986,1280,,,1208,,,,tch vanco:CA-MHB:Control:Exponential:TCH1516:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,Control,,,SRX8420206
SRX5504116,PRJNA526511,SAMN08200716,,tch vanco,RPMI+10%LB,RPMI+10%LB;PreCulture;exp;TCH1516;WT,exp,TCH1516,Control,,,,0,0,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,USA300,Illumina HiSeq 4000,ILLUMINA,PRJNA526511,526511,3/11/2019 18:30,SRR8709678,SRP188115,SRS2770989,Staphylococcus aureus,SRA858526,1280,,1208,,,,,tch vanco:RPMI+10%LB:PreCulture:Exponential:TCH1516:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,PreCulture,,,SRX5504116
SRX5504119,PRJNA526511,SAMN08200716,,tch vanco,RPMI+10%LB,RPMI+10%LB;PreCulture;exp;TCH1516;WT,exp,TCH1516,Control,,,,0,0,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,USA300,Illumina HiSeq 4000,ILLUMINA,PRJNA526511,526511,3/11/2019 18:31,SRR8709681,SRP188115,SRS2770989,Staphylococcus aureus,SRA858526,1280,,1208,,,,,tch vanco:RPMI+10%LB:PreCulture:Exponential:TCH1516:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,PreCulture,,,SRX5504119
SRX5505131,PRJNA526539,SAMN09103979,,lac vanco,RPMI+10%LB,RPMI+10%LB;None;exp;LAC;WT,exp,LAC,Control,,,PNAS StaphICA data,0,0,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,,Illumina HiSeq 4000,ILLUMINA,,526539,3/12/2019 2:04,SRR8710739,SRP188138,SRS3283680,Staphylococcus aureus,SRA858631,1280,,,1208,,,,lac vanco:RPMI+10%LB:None:Exponential:LAC:WT,TRUE,TRUE,,TRUE,,,,UNIVERSITY OF CALIFORNIA- SAN DIEGO,,,,,,TRUE,WT,,,,,SRX5505131
SRX5505132,PRJNA526539,SAMN09103979,,lac vanco,RPMI+10%LB,RPMI+10%LB;0.6ug/mL Vancomycin;exp;LAC;WT,exp,LAC,Control,,,PNAS StaphICA data,0,0,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,,Illumina HiSeq 4000,ILLUMINA,,526539,3/12/2019 2:04,SRR8710738,SRP188138,SRS3283680,Staphylococcus aureus,SRA858631,1280,,,1208,,,,lac vanco:RPMI+10%LB:0.6ug/mL Vancomycin:Exponential:LAC:WT,TRUE,TRUE,,TRUE,,,,UNIVERSITY OF CALIFORNIA- SAN DIEGO,,,,,,TRUE,WT,,0.6ug/mL Vancomycin,,,SRX5505132
